x,y,isInArea
6.09858,2.39087,0
-6.09858,2.39087,0
4.47009,-0.32099,0
-4.47009,-0.32099,0
6.64282,-2.09551,0
-6.64282,-2.09551,0
4.80681,0.898826,0
-4.80681,0.898826,0
6.29607,1.09478,1
-6.29607,1.09478,1
4.99515,2.46078,0
-4.99515,2.46078,0
6.37344,0.787257,1
-6.37344,0.787257,1
4.41682,-1.73479,0
-4.41682,-1.73479,0
5.41854,0.430758,1
-5.41854,0.430758,1
6.0331,0.883405,1
-6.0331,0.883405,1
6.00207,0.576399,1
-6.00207,0.576399,1
4.61525,0.936148,0
-4.61525,0.936148,0
4.98463,0.317799,0
-4.98463,0.317799,0
5.1171,-1.14779,1
-5.1171,-1.14779,1
5.76501,-2.13633,1
-5.76501,-2.13633,1
7.03607,-2.17565,0
-7.03607,-2.17565,0
5.49796,1.14103,1
-5.49796,1.14103,1
5.58308,2.03681,1
-5.58308,2.03681,1
5.83335,0.012719,1
-5.83335,0.012719,1
5.79408,-1.4374,1
-5.79408,-1.4374,1
5.38317,-0.361278,1
-5.38317,-0.361278,1
4.79864,-1.46011,1
-4.79864,-1.46011,1
6.62191,-1.32201,1
-6.62191,-1.32201,1
5.86627,-0.264527,1
-5.86627,-0.264527,1
5.49666,0.102254,1
-5.49666,0.102254,1
5.5544,-1.32753,1
-5.5544,-1.32753,1
5.63194,2.49122,0
-5.63194,2.49122,0
5.01076,-0.545712,1
-5.01076,-0.545712,1
4.90972,0.315801,0
-4.90972,0.315801,0
5.73658,2.46308,0
-5.73658,2.46308,0
4.5057,-1.27851,0
-4.5057,-1.27851,0
6.49292,-1.43309,1
-6.49292,-1.43309,1
4.95175,-0.0130999,0
-4.95175,-0.0130999,0
7.06172,1.36047,0
-7.06172,1.36047,0
5.36078,-0.274125,1
-5.36078,-0.274125,1
5.43402,-0.643958,1
-5.43402,-0.643958,1
6.86314,-1.04484,0
-6.86314,-1.04484,0
6.1481,-0.301446,1
-6.1481,-0.301446,1
5.68622,-2.14921,1
-5.68622,-2.14921,1
5.35571,-1.07643,1
-5.35571,-1.07643,1
5.59879,0.573706,1
-5.59879,0.573706,1
6.47678,-0.252048,1
-6.47678,-0.252048,1
4.43319,0.44107,0
-4.43319,0.44107,0
5.71945,2.06395,1
-5.71945,2.06395,1
5.0546,2.40159,1
-5.0546,2.40159,1
5.7934,0.0240134,1
-5.7934,0.0240134,1
7.00421,-1.95455,0
-7.00421,-1.95455,0
4.91351,0.268952,0
-4.91351,0.268952,0
6.14728,-0.5625,1
-6.14728,-0.5625,1
5.95075,2.16251,0
-5.95075,2.16251,0
5.99356,0.108556,1
-5.99356,0.108556,1
5.67477,-0.557818,1
-5.67477,-0.557818,1
5.13798,1.6376,1
-5.13798,1.6376,1
4.41418,0.648475,0
-4.41418,0.648475,0
6.43243,-0.424985,1
-6.43243,-0.424985,1
6.43825,1.84598,0
-6.43825,1.84598,0
5.80879,-1.97786,1
-5.80879,-1.97786,1
6.23613,-0.665935,1
-6.23613,-0.665935,1
4.49336,0.326399,0
-4.49336,0.326399,0
5.33253,2.46201,0
-5.33253,2.46201,0
4.42774,2.45721,1
-4.42774,2.45721,1
6.32109,1.80338,0
-6.32109,1.80338,0
5.43012,1.37084,1
-5.43012,1.37084,1
6.20063,1.22422,1
-6.20063,1.22422,1
4.57603,-0.602718,0
-4.57603,-0.602718,0
6.75141,-0.746812,1
-6.75141,-0.746812,1
4.87852,0.95809,0
-4.87852,0.95809,0
5.92336,-0.278497,1
-5.92336,-0.278497,1
5.63464,-0.457698,1
-5.63464,-0.457698,1
4.68434,-1.09244,0
-4.68434,-1.09244,0
4.92037,0.212042,0
-4.92037,0.212042,0
5.29444,2.00367,1
-5.29444,2.00367,1
6.77662,-1.1432,1
-6.77662,-1.1432,1
5.87384,-1.36964,1
-5.87384,-1.36964,1
4.40318,-1.26322,0
-4.40318,-1.26322,0
5.15108,2.40103,0
-5.15108,2.40103,0
4.5562,-1.60656,0
-4.5562,-1.60656,0
6.27872,1.20266,1
-6.27872,1.20266,1
4.59263,-0.251405,0
-4.59263,-0.251405,0
6.47994,1.77433,0
-6.47994,1.77433,0
5.22632,-0.739985,1
-5.22632,-0.739985,1
5.59931,-1.69817,1
-5.59931,-1.69817,1
5.07279,0.461277,1
-5.07279,0.461277,1
5.02353,-1.54505,1
-5.02353,-1.54505,1
5.71587,-0.908194,1
-5.71587,-0.908194,1
6.09765,1.17017,1
-6.09765,1.17017,1
4.89606,-0.266454,0
-4.89606,-0.266454,0
6.19864,-2.47229,0
-6.19864,-2.47229,0
6.06484,-0.685523,1
-6.06484,-0.685523,1
6.19565,-2.44954,0
-6.19565,-2.44954,0
6.34101,-0.799387,1
-6.34101,-0.799387,1
6.12997,1.32726,1
-6.12997,1.32726,1
7.02872,-1.61374,0
-7.02872,-1.61374,0
6.80163,1.51468,0
-6.80163,1.51468,0
6.3367,1.27247,1
-6.3367,1.27247,1
4.37193,-0.160053,0
-4.37193,-0.160053,0
5.68049,-0.359908,1
-5.68049,-0.359908,1
6.85915,-1.90921,0
-6.85915,-1.90921,0
5.34646,1.29288,1
-5.34646,1.29288,1
5.6293,-1.77129,1
-5.6293,-1.77129,1
4.58799,0.806069,0
-4.58799,0.806069,0
6.08268,2.14446,0
-6.08268,2.14446,0
4.80179,-1.28909,0
-4.80179,-1.28909,0
4.47291,-0.74125,0
-4.47291,-0.74125,0
5.38264,-2.32217,0
-5.38264,-2.32217,0
5.39635,0.300609,1
-5.39635,0.300609,1
5.58917,0.449421,1
-5.58917,0.449421,1
4.77721,0.469153,0
-4.77721,0.469153,0
4.96528,-2.10933,1
-4.96528,-2.10933,1
5.32391,-1.20873,1
-5.32391,-1.20873,1
6.76029,-1.65675,0
-6.76029,-1.65675,0
4.69647,0.609532,0
-4.69647,0.609532,0
6.25295,-1.78956,1
-6.25295,-1.78956,1
6.86681,-0.594695,1
-6.86681,-0.594695,1
6.09226,0.0981836,1
-6.09226,0.0981836,1
5.08002,-1.63205,1
-5.08002,-1.63205,1
5.04717,-0.00360365,1
-5.04717,-0.00360365,1
4.68584,0.348569,0
-4.68584,0.348569,0
6.9805,-1.71155,0
-6.9805,-1.71155,0
6.54939,2.06045,0
-6.54939,2.06045,0
6.23785,-2.05022,0
-6.23785,-2.05022,0
5.46991,-1.39771,1
-5.46991,-1.39771,1
5.09782,-0.868147,1
-5.09782,-0.868147,1
4.77769,-1.24189,0
-4.77769,-1.24189,0
6.7589,0.716394,1
-6.7589,0.716394,1
6.03583,-0.363842,1
-6.03583,-0.363842,1
6.46444,-0.844506,1
-6.46444,-0.844506,1
6.85724,1.78923,0
-6.85724,1.78923,0
4.35226,-0.711814,0
-4.35226,-0.711814,0
6.90453,-1.91831,0
-6.90453,-1.91831,0
5.86399,-2.03043,1
-5.86399,-2.03043,1
5.76746,2.313,0
-5.76746,2.313,0
5.55882,1.97769,1
-5.55882,1.97769,1
5.55324,-0.736727,1
-5.55324,-0.736727,1
4.65453,1.29986,0
-4.65453,1.29986,0
6.44121,1.832,0
-6.44121,1.832,0
4.41167,0.27103,0
-4.41167,0.27103,0
5.37795,0.851246,1
-5.37795,0.851246,1
5.51849,-2.27763,0
